id,y,x
T_1369,27.187622,-81.338562
T_1369,27.187658,-81.338615
T_1369,27.187712,-81.338512
T_1369,27.18767,-81.338645
T_1369,27.18776,-81.338612
T_1369,27.188165,-81.33868
T_1369,27.187907,-81.338547
T_1369,27.187985,-81.338603
T_1369,27.187938,-81.33846
T_1369,27.187763,-81.338317
T_1369,27.187632,-81.338603
T_1369,27.187528,-81.338593
T_1369,27.187585,-81.338573
T_1369,27.187665,-81.338567
T_1369,27.187173,-81.338643
T_1369,27.187557,-81.338677
T_1369,27.187658,-81.33864
T_1369,27.187753,-81.3386
T_1369,27.188067,-81.338627
T_1369,27.18805,-81.338645
T_1369,27.188167,-81.338708
T_1369,27.187703,-81.338592
T_1369,27.187665,-81.338593
T_1369,27.187547,-81.338538
T_1369,27.187782,-81.339037
T_1369,27.187708,-81.338708
T_1369,27.188685,-81.34004
T_1369,27.188155,-81.33878
T_1369,27.18776,-81.338723
T_1369,27.18759,-81.338632
T_1369,27.187538,-81.338602
T_1369,27.187645,-81.338625
T_1369,27.187727,-81.338755
T_1369,27.188,-81.338742
T_1369,27.187678,-81.338015
T_1369,27.187717,-81.338725
T_1369,27.187522,-81.338625
T_1369,27.187558,-81.338592
T_1369,27.187562,-81.338898
T_1369,27.187565,-81.33854
T_1369,27.187688,-81.33855
T_1369,27.187567,-81.338727
T_1369,27.187673,-81.338622
T_1369,27.187685,-81.338688
T_1369,27.18772,-81.338638
T_1369,27.187703,-81.338693
T_1369,27.18774,-81.338635
T_1369,27.18742,-81.338485
T_1369,27.187658,-81.338485
T_1369,27.18766,-81.338617
T_1369,27.187653,-81.338632
T_1369,27.187832,-81.338733
T_1369,27.187655,-81.33864
T_1369,27.187648,-81.33866
T_1369,27.187603,-81.338658
T_1369,27.187677,-81.338718
T_1369,27.187668,-81.338588
T_1369,27.187602,-81.338578
T_1369,27.18762,-81.33847
T_1369,27.187717,-81.338552
T_1369,27.187662,-81.338657
T_1369,27.187773,-81.338712
T_1369,27.188263,-81.338647
T_1369,27.187757,-81.338707
T_1369,27.187673,-81.338603
T_1369,27.18806,-81.337917
T_1369,27.187598,-81.338455
T_1369,27.187552,-81.338575
T_1369,27.187655,-81.33859
T_1369,27.187692,-81.338335
T_1369,27.187592,-81.338582
T_1369,27.187643,-81.338593
T_1369,27.187763,-81.338508
T_1369,27.187607,-81.338758
T_1369,27.187738,-81.338713
T_1369,27.188037,-81.338517
T_1369,27.187715,-81.33863
T_1369,27.187842,-81.338867
T_1369,27.187618,-81.338623
T_1369,27.187618,-81.338558
T_1369,27.18767,-81.338628
T_1369,27.188235,-81.338287
T_1369,27.187842,-81.338752
T_1369,27.18807,-81.338665
T_1369,27.18815,-81.338592
T_1543,27.1864,-81.339492
T_1543,27.186195,-81.339572
T_1543,27.186063,-81.339903
T_1543,27.186023,-81.339532
T_1543,27.186018,-81.339692
T_1543,27.186413,-81.339247
T_1543,27.186372,-81.339428
T_1543,27.18643,-81.33935
T_1543,27.186512,-81.339228
T_1543,27.18608,-81.339673
T_1543,27.18603,-81.339662
T_1543,27.18592,-81.339545
T_1543,27.186372,-81.339588
T_1543,27.186058,-81.339675
T_1543,27.186093,-81.339645
T_1543,27.186367,-81.339388
T_1543,27.185988,-81.33965
T_1543,27.185957,-81.339542
T_1543,27.18594,-81.339613
T_1543,27.186463,-81.3396
T_1543,27.186408,-81.339463
T_1543,27.186398,-81.339503
T_1543,27.185993,-81.340012
T_1543,27.186167,-81.339715
T_1543,27.18642,-81.339545
T_1543,27.185862,-81.33951
T_1543,27.186393,-81.339517
T_1543,27.186445,-81.339502
T_1543,27.186103,-81.3398
T_1543,27.186405,-81.339485
T_1543,27.186033,-81.339675
T_1543,27.186003,-81.339708
T_1543,27.186367,-81.339368
T_1543,27.18651,-81.339802
T_1543,27.1862,-81.339737
T_1543,27.186045,-81.33969
T_1543,27.186095,-81.33969
T_1543,27.1861,-81.33974
T_1543,27.185825,-81.339522
T_1543,27.186418,-81.33953
T_1543,27.186078,-81.339665
T_1558,27.186365,-81.337295
T_1558,27.186463,-81.337247
T_1558,27.186468,-81.33744
T_1558,27.186433,-81.337463
T_1558,27.186458,-81.337488
T_1558,27.186447,-81.33752
T_1558,27.186403,-81.337432
T_1558,27.186215,-81.337145
T_1558,27.186412,-81.337467
T_1558,27.186247,-81.337362
T_1558,27.186383,-81.337438
T_1558,27.186373,-81.337475
T_1558,27.186813,-81.338055
T_1558,27.186337,-81.337468
T_1558,27.186402,-81.33745
T_1558,27.18643,-81.337425
T_1558,27.18649,-81.337418
T_1558,27.186493,-81.337523
T_1558,27.186533,-81.337678
T_1558,27.186432,-81.337433
T_1558,27.186428,-81.337455
T_1558,27.186413,-81.337135
T_1558,27.18659,-81.33779
T_1558,27.186363,-81.337465
T_1558,27.186538,-81.337643
T_1558,27.186203,-81.337
T_1558,27.186467,-81.33762
T_1558,27.18665,-81.33735
T_1558,27.186342,-81.337452
T_1558,27.186373,-81.33747
T_1558,27.186387,-81.33746
T_1558,27.186545,-81.337308
T_1558,27.18653,-81.3374
T_1558,27.186532,-81.337567
T_1558,27.186398,-81.337543
T_1558,27.186373,-81.33739
T_1558,27.186562,-81.337113
T_1558,27.18638,-81.337313
T_1558,27.186452,-81.337433
T_1558,27.186423,-81.337362
T_1558,27.186463,-81.337473
T_1558,27.186537,-81.337573
T_1558,27.186517,-81.33745
T_1558,27.18667,-81.337315
T_1558,27.186452,-81.337615
T_1558,27.186505,-81.337358
T_1558,27.186442,-81.337373
T_1558,27.186415,-81.337363
T_1558,27.18641,-81.337425
T_1558,27.18636,-81.337337
T_1558,27.186347,-81.337423
T_1558,27.186342,-81.337463
T_1558,27.186422,-81.337325
T_1558,27.186423,-81.337418
T_1558,27.186382,-81.337382
T_1558,27.186542,-81.337093
T_1558,27.186465,-81.337093
T_1558,27.186037,-81.337165
T_1558,27.18642,-81.337333
T_1558,27.186437,-81.337382
T_1558,27.18646,-81.337408
T_1558,27.186487,-81.337352
T_1558,27.186378,-81.33745
T_1558,27.18591,-81.33755
T_1558,27.186307,-81.33744
T_1558,27.186462,-81.337155
T_1558,27.186522,-81.337772
T_1558,27.186372,-81.337388
T_1558,27.186395,-81.337412
T_1558,27.186473,-81.337603
T_1558,27.186485,-81.337412
T_1558,27.186423,-81.337557
T_1558,27.186433,-81.337575
T_1558,27.186415,-81.337447
T_1558,27.18633,-81.337508
T_1558,27.18645,-81.337413
T_1558,27.18651,-81.337722
T_1559,27.185812,-81.339058
T_1559,27.185853,-81.339027
T_1559,27.185845,-81.339023
T_1559,27.18586,-81.338962
T_1559,27.185847,-81.339248
T_1559,27.185825,-81.338862
T_1559,27.18589,-81.338943
T_1559,27.185838,-81.338967
T_1559,27.185898,-81.339013
T_1559,27.185922,-81.339083
T_1559,27.185828,-81.33905
T_1559,27.185757,-81.339052
T_1559,27.18585,-81.339108
T_1559,27.185852,-81.338992
T_1559,27.185883,-81.338672
T_1559,27.185702,-81.33896
T_1559,27.186157,-81.338823
T_1559,27.186045,-81.339338
T_1559,27.185952,-81.338818
T_1559,27.185868,-81.338772
T_1559,27.185973,-81.338953
T_1559,27.185882,-81.339032
T_1559,27.185835,-81.339043
T_1559,27.185935,-81.339072
T_1559,27.185838,-81.339063
T_1559,27.185827,-81.33905
T_1559,27.185833,-81.339027
T_1559,27.185865,-81.338993
T_1559,27.185733,-81.339038
T_1559,27.185885,-81.33919
T_1559,27.185848,-81.338947
T_1559,27.185732,-81.33879
T_1559,27.185995,-81.339247
T_1559,27.185918,-81.338838
T_1559,27.185877,-81.338912
T_1559,27.186057,-81.339385
T_1559,27.185955,-81.33892
T_1559,27.185427,-81.339103
T_1559,27.185898,-81.339122
T_1559,27.185872,-81.339012
T_1559,27.185873,-81.339032
T_1559,27.185822,-81.339023
T_1559,27.185858,-81.339033
T_1559,27.186045,-81.339075
T_1559,27.185902,-81.338935
T_1559,27.185912,-81.338883
T_1559,27.186022,-81.338823
T_1559,27.186017,-81.338807
T_1559,27.185957,-81.339263
T_1559,27.185495,-81.339095
T_1559,27.185978,-81.338945
T_1559,27.18582,-81.339028
T_1559,27.185882,-81.339102
T_1559,27.185823,-81.338983
T_1559,27.186,-81.338963
T_1559,27.185725,-81.338943
T_1559,27.185977,-81.339293
T_1559,27.185912,-81.338947
T_1559,27.185823,-81.33898
T_1559,27.185803,-81.33907
T_1559,27.185823,-81.339085
T_1559,27.185805,-81.33912
T_1559,27.185912,-81.339033
T_1559,27.185597,-81.339455
T_1559,27.185975,-81.338888
T_1559,27.18581,-81.339098
T_1559,27.18585,-81.33907
T_1559,27.185795,-81.339235
T_1559,27.185753,-81.338987
T_1559,27.185872,-81.338967
T_1559,27.185785,-81.339178
T_1559,27.18583,-81.33885
T_1559,27.185717,-81.338888
T_1559,27.185865,-81.339045
T_1559,27.185843,-81.338973
T_1559,27.185913,-81.338982
T_1559,27.185828,-81.338772
T_1559,27.185915,-81.338923
T_1559,27.185928,-81.33877
T_1559,27.185645,-81.339157
T_1559,27.18573,-81.339075
T_1559,27.18579,-81.33909
T_1559,27.185975,-81.339102
T_1559,27.185787,-81.338995
T_1559,27.185788,-81.33898
T_1559,27.185775,-81.33899
T_1559,27.18589,-81.3392
T_1559,27.18583,-81.33897
T_1559,27.185938,-81.33893
T_1559,27.185932,-81.338887
T_1559,27.185928,-81.339223
T_1563,27.186997,-81.339922
T_1563,27.18684,-81.339937
T_1563,27.186905,-81.339945
T_1563,27.186962,-81.33987
T_1563,27.187107,-81.339825
T_1563,27.1869,-81.339862
T_1563,27.187172,-81.339923
T_1563,27.18723,-81.340083
T_1563,27.186753,-81.339727
T_1563,27.187115,-81.339988
T_1563,27.18691,-81.339788
T_1563,27.186865,-81.339748
T_1563,27.18682,-81.339417
T_1563,27.187052,-81.339747
T_1563,27.187,-81.339602
T_1563,27.186853,-81.339603
T_1563,27.186938,-81.339747
T_1563,27.187138,-81.339765
T_1563,27.18697,-81.33982
T_1563,27.18712,-81.339825
T_1563,27.18691,-81.339853
T_1563,27.186922,-81.339868
T_1563,27.186972,-81.33994
T_1563,27.186963,-81.339978
T_1563,27.186887,-81.339895
T_1563,27.186935,-81.33987
T_1563,27.186982,-81.339848
T_1563,27.187083,-81.339885
T_1563,27.187075,-81.3399
T_1563,27.187097,-81.339822
T_1563,27.18687,-81.33986
T_1563,27.187077,-81.339357
T_1563,27.187082,-81.339647
T_1563,27.187273,-81.33965
T_1563,27.186872,-81.339827
